dataset,split,doc_id,document_type,schema_name,gold_available,source_path,text,char_count,token_count_whitespace,sentence_count,entity_count,relation_count,annotation_file_count,label_types,text_sha256,parse_status,eligible,length_bucket,notes
SciER,dev,53719258,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__2,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__3,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__4,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__5,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,10,0,0,,,missing_text,0,,
SciER,dev,53719258__6,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__7,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__8,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,10,0,0,,,missing_text,0,,
SciER,dev,53719258__9,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,10,0,0,,,missing_text,0,,
SciER,dev,53719258__10,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__11,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,12,0,0,,,missing_text,0,,
SciER,dev,53719258__12,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__13,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__14,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__15,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,10,0,0,,,missing_text,0,,
SciER,dev,53719258__16,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__17,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__18,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__19,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__20,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__21,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__22,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,16,0,0,,,missing_text,0,,
SciER,dev,53719258__23,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__24,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,20,0,0,,,missing_text,0,,
SciER,dev,53719258__25,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__26,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__27,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__28,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__29,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__30,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,12,0,0,,,missing_text,0,,
SciER,dev,53719258__31,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__32,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,10,0,0,,,missing_text,0,,
SciER,dev,53719258__33,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__34,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__35,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__36,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__37,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__38,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__39,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__40,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__41,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__42,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__43,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__44,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__45,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,10,0,0,,,missing_text,0,,
SciER,dev,53719258__46,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__47,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__48,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__49,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__50,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__51,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__52,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,10,0,0,,,missing_text,0,,
SciER,dev,53719258__53,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__54,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__55,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__56,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,2,0,0,,,missing_text,0,,
SciER,dev,53719258__57,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__58,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__59,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__60,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__61,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__62,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__63,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__64,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__65,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__66,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__67,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__68,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__69,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__70,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,10,0,0,,,missing_text,0,,
SciER,dev,53719258__71,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__72,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__73,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__74,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__75,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,2,0,0,,,missing_text,0,,
SciER,dev,53719258__76,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__77,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,14,0,0,,,missing_text,0,,
SciER,dev,53719258__78,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__79,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__80,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__81,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,4,0,0,,,missing_text,0,,
SciER,dev,53719258__82,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,8,0,0,,,missing_text,0,,
SciER,dev,53719258__83,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__84,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,14,0,0,,,missing_text,0,,
SciER,dev,53719258__85,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__86,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
SciER,dev,53719258__87,full_document,scier_entity_relation,1,LLM/dev.jsonl,,0,0,0,6,0,0,,,missing_text,0,,
